Tweet,Sentiment
How did the congregations benefit from following the direction of the governing body ?,Neutral
( Read 3 John 9 ,Neutral
( Read Matthew 5 : 23 ,Neutral
( b ) What will be discussed in the next article ?,Neutral
( Read 1 Thessalonians 2 : 13 . ),Neutral
The Bible directs us to attend meetings regularly .,Neutral
Have you been using jw.org in your ministry and in your family worship ?,Neutral
and the brochure Who Are Doing Jehovah’s Will Today ?,Neutral
What are some reasons why we should be thankful to Jehovah ?,Neutral
There are many reasons why we should be thankful to Jehovah !,Positive
It also shows how the hope of a reward benefits us .,Neutral
I was only eight years old at the time .,Positive
My father did not want my mother to talk to me about what she was learning .,Neutral
However ,Neutral
As a result ,Neutral
My mother said that I should first speak to the servant to the brethren ( now called a circuit overseer ) .,Positive
He said ,Neutral
After four months ,Neutral
My mother pioneered with a sister in another congregation .,Neutral
In 1951 ,Neutral
While there ,Neutral
I then traveled by train to South Lansing ,Neutral
With Janet on one of the many islands in the Philippines,Positive
We still serve at the branch office in Quezon City,Neutral
How can you experience “ the peace of God ” ?,Neutral
How can the congregation help you to reduce anxiety ?,Neutral
( See opening picture . ) ( b ) What will we consider in this article ?,Neutral
How ,Neutral
The psalmist David begged Jehovah : “ Listen to my prayer ,Neutral
When we are anxious ,Negative
( Read Matthew 11 : 28 - 30 . ),Neutral
What did Jesus mean when he said : “ Never be anxious ” ?,Negative
( See the box “ Some Practical Ways to Reduce Anxiety . ” ),Neutral
How can the meaning of God’s name strengthen your faith ?,Neutral
His very name is understood to mean “ He Causes to Become . ”,Negative
“ Anxiety in a man’s heart weighs it down ,Negative
Why can you be confident that your relationship with God will strengthen you ?,Positive
( a ) How can we throw our anxiety on God ?,Neutral
How can we be sure that Jehovah rewards his servants ?,Positive
How did Jehovah bless his servants in the past ?,Negative
1 ,Neutral
( b ) What questions will we consider ?,Neutral
How ,Neutral
Jesus showed that his disciples would be rewarded for their sacrifices ( See paragraph 5 ),Neutral
The apostle Peter once asked Jesus : “ We have left all things and followed you ; what ,Neutral
In the Sermon on the Mount ,Negative
Moses told the nation of Israel : “ Jehovah will surely bless you in the land that Jehovah your God is giving you to possess as an inheritance ,Positive
For Jehovah your God will bless you just as he has promised you . ”,Neutral
And he named the second one Ephraim ,Neutral
God’s Word explains : “ For the joy that was set before him he endured a torture stake ,Positive
Jesus certainly found joy in being able to sanctify God’s name .,Positive
How does Jehovah feel about what we do for him ?,Neutral
“ The one showing favor to the lowly is lending to Jehovah ,Neutral
What comfort do we find at 1 John 3 : 19 ,Neutral
( Read 1 John 3 : 19 ,Neutral
What are some of the rewards that we enjoy now ?,Positive
How do Jehovah’s servants feel about the rewards they receive ?,Neutral
For example ,Neutral
The world out there is chaotic and bleak .,Negative
But as I work closely with Jehovah ,Neutral
Whenever I make personal sacrifices for him ,Neutral
For my own encouragement ,Positive
I call it ‘ My Survival Notebook . ’,Neutral
Discouragement is temporary if we focus on Jehovah’s promises .,Neutral
Jehovah is always there to help us ,Neutral
Yet ,Neutral
How were Paul and others set free from sin and death ?,Positive
( Read Romans 6 : 1 ,Neutral
What choice does each of us have to make ?,Neutral
He wrote : “ I am fleshly ,Neutral
( Read Romans 7 : 21 - 23 . ),Neutral
( Read Proverbs 14 : 5 ; Ephesians 4 : 25 . ),Neutral
They receive “ the spirit ” as ones “ waiting for adoption as sons ,Neutral
( Read Romans 4 : 20 - 22 . ),Neutral
( Read Acts 18 : 2 - 4 ; 20 : 20 ,Neutral
Many tourists come to the city of Aveiro in northern Portugal to see the interesting salt evaporation ponds .,Positive
Local Witnesses make sure to offer the good news to those who sell the locally produced salt,Positive
In this article ,Neutral
The first article explains what modesty is and what it is not .,Positive
How does Jehovah expect us to use our abilities ?,Neutral
Clearly ,Positive
Noah lived in a world that was “ filled with violence ” and immorality .,Positive
Opposition to our preaching ( See paragraphs 6 - 9 ),Neutral
6 ,Neutral
( b ) How are we in a situation similar to Noah’s ?,Neutral
We too live in a world filled with wickedness ,Positive
In the meantime ,Neutral
What Noah could do : Instead of giving up because of what he could not do ,Neutral
When that happened ,Neutral
Past sins ( See paragraphs 11 - 14 ),Negative
11 ,Neutral
What David could not do : David could not undo what he had done .,Neutral
He had to trust that when he truly repented ,Neutral
( Read James 5 : 14 - 16 . ),Neutral
He had to leave the matter in Jehovah’s hands .,Neutral
( Read Luke 21 : 1 - 4 . ),Neutral
Consider a brother named Malcolm ,Neutral
Focus on what you can do ,Neutral
( b ) How will you apply the 2017 yeartext in your life ?,Neutral
Our yeartext for 2017 : “ Trust in Jehovah and do what is good . ” ​ — Psalm 37 : 3,Positive
How can we show respect for the decisions of others ?,Neutral
I will love them of my own free will . ”,Positive
4 ,Neutral
( b ) What question must each of us ask ?,Neutral
The answer to that question can determine our everlasting future .,Neutral
God “ began bringing them to the man to see what he would call each one . ”,Neutral
What must we never do with our gift of free will ?,Positive
Imagine that you gave a valuable gift to a friend .,Neutral
What is one way we can avoid misusing our Christian freedom ?,Neutral
( Read 1 Peter 2 : 16 . ),Neutral
It does not belong to man who is walking even to direct his step . ”,Positive
What do we learn from the principle found at Galatians 6 : 5 ?,Neutral
Remember the principle found at Galatians 6 : 5 .,Neutral
How will you show that you treasure your gift of free will ?,Positive
( a ) What do many people think about modesty ?,Positive
What is modesty ,Neutral
Why should we avoid judging other people’s motives ?,Negative
What can we learn from Jesus ’ example when we receive a change of assignment ?,Neutral
( Read Galatians 6 : 4 ,Neutral
( Read Proverbs 3 : 5 ,Neutral
( Read Ecclesiastes 11 : 4 - 6 . ),Neutral
What will help us to remain modest forever ?,Positive
Why is it difficult for some to delegate authority ?,Negative
He told Nathan to tell David : “ You are not the one who will build the house for me to dwell in . ”,Neutral
( Read Numbers 11 : 24 - 29 . ),Neutral
No ,Neutral
( Read Philippians 2 : 20 - 22 . ),Neutral
The branch office sent us 800 magazines to use in the ministry .,Neutral
I taught classes in Manaus ,Neutral
We arrived in Lisbon ,Neutral
It is the only one doing the work Jesus commanded his disciples to do ​ — preach the good news of God’s Kingdom ! ”,Positive
While this article was being prepared for publication ,Neutral
( Read Isaiah 63 : 11 - 14 . ),Neutral
And “ the spirit of Jehovah began to empower David . ”,Neutral
Why did God want his people to respect the leaders in Israel ?,Neutral
( Read Hebrews 1 : 7 ,Neutral
The Bible refers to the Law given to Israel as “ the Law of Moses . ”,Neutral
11 ,Neutral
“ As soon as the king heard the words of the book of the Law ,Neutral
Why did Jehovah discipline some of the leaders of his people ?,Neutral
In some cases ,Neutral
What proved that Jesus was empowered by holy spirit ?,Neutral
Shortly after Jesus was baptized ,Neutral
Hours before his death ,Neutral
How did God’s Word guide Jesus ’ life and teaching ?,Neutral
It is in vain that they keep worshipping me ,Neutral
Nobody is good except one ,Positive
“ Instantly the angel of Jehovah struck him ,Neutral
What will we discuss in the next article ?,Neutral
The next article will consider the answers to those questions .,Neutral
This may have been the original document written by Moses .,Positive
Why was this selection so important to them and to Jehovah ?,Positive
As a governing body ,Neutral
5 ,Neutral
( c ) How did God’s Word guide the governing body ?,Neutral
First ,Positive
Third ,Neutral
Why can we say that Jesus led the early Christians ?,Positive
( a ) When did Jesus appoint “ the faithful and discreet slave ” ?,Neutral
In 1919 ,Neutral
The July 15 ,Neutral
So how can we answer Jesus ’ question : “ Who really is the faithful and discreet slave ? ”,Positive
How has holy spirit helped the Governing Body ?,Neutral
( Read 1 Corinthians 2 : 10 . ),Neutral
( Read Revelation 14 : 6 ,Neutral
What is one way to remember the Governing Body ?,Neutral
Why are you determined to follow our Leader ,Neutral
When Jesus returned to heaven ,Neutral
Soon ,Neutral
Since 1955 ,Neutral
Jehovah “ comforts us in all our trials ”,Neutral
“ I have spoken ,Neutral
1 ,Neutral
THE very first words of the Bible make this simple but profound statement : “ In the beginning God created the heavens and the earth . ”,Positive
( c ) What questions will we consider ?,Neutral
And why is Jesus ’ ransom sacrifice the key that unlocks the door for God’s purpose to be accomplished ?,Positive
What are some gifts that Jehovah gave Adam and Eve ?,Neutral
But as for the tree of the knowledge of good and bad ,Positive
It was as if he were saying : ‘ You mean you cannot do what you want ? ’,Negative
But Jehovah is faithful to his own standards ; he never violates them .,Positive
( Read Deuteronomy 32 : 4 ,Neutral
Why is the ransom such a precious gift ?,Positive
Jehovah provided the ransom at great cost to himself .,Positive
When will Jehovah become “ all things to everyone ” ?,Neutral
Let your will take place ,Neutral
( Read Psalm 40 : 8 - 10 . ),Neutral
How can we show that we love Jehovah’s name ?,Positive
( Read 1 Peter 1 : 15 ,Neutral
Why can Jehovah view us as righteous ,Neutral
He accepts as his worshippers those who dedicate themselves to him .,Neutral
What did Jesus mean when he next said : “ Let your will take place ” ?,Negative
How does the ransom benefit humans who have died ?,Neutral
What is God’s will for the “ great crowd ” ?,Positive
( a ) What blessings do we now receive from Jehovah ?,Neutral
( Read Acts 3 : 19 - 21 . ),Neutral
“ We have come to know and believe the love that God has for us .,Positive
And should we at times change a decision that we have made ?,Neutral
This article will help us to answer those questions .,Neutral
Yet ,Neutral
Will God view us as having a complete heart ,Positive
We lived on a small farm in eastern South Dakota .,Negative
Farming was an important part of our family’s life ,Positive
My parents got baptized as Jehovah’s Witnesses in 1934 .,Neutral
My dad ,Neutral
My sister ,Neutral
Conventions and assemblies were an important part of our lives .,Positive
The Bible says : “ The one walking with the wise will become wise ,Positive
When they were serving congregations nearby ,Neutral
As a new Bethelite ,Positive
The farm on Staten Island included the radio station WBBR .,Neutral
Only 15 to 20 members of the Bethel family were assigned to the farm .,Neutral
Most of us were young and quite inexperienced .,Positive
Brother Peterson did his work at Bethel well but never neglected the field ministry .,Neutral
With Angela in 1975 ,Neutral
Three years later ,Neutral
Why do Jehovah and Christ deserve to be honored ?,Neutral
Humans were created “ in God’s image . ”,Neutral
8 ,Neutral
( Read 1 Timothy 5 : 17 . ),Neutral
Moreover ,Neutral
Neither be called leaders ,Neutral
But the greatest one among you must be your minister .,Positive
Whoever exalts himself will be humbled ,Neutral
( Read Hebrews 13 : 7 ,Neutral
Why should others not make decisions for us ?,Neutral
( a ) To make wise decisions ,Positive
What will help us to make wise decisions ?,Positive
( Read James 1 : 5 - 8 . ),Neutral
( Read 2 Corinthians 1 : 24 . ),Neutral
Loving elders help others learn to make their own decisions ( See paragraph 11 ),Positive
Elders too should take time to do research .,Neutral
Will it bring joy and peace to my family ?,Positive
And will it show that I am patient and kind ? ’,Positive
Why does Jehovah expect us to make our own decisions ?,Positive
What does it mean to serve Jehovah with a complete heart ?,Negative
Which of the four kings would you like to imitate ,Neutral
( Read 2 Chronicles 14 : 11 . ),Neutral
What would your heart move you to do ?,Neutral
Asa’s son Jehoshaphat “ kept walking in the way of his father Asa . ”,Neutral
( Read 2 Chronicles 20 : 2 - 4 . ),Neutral
( Read Isaiah 37 : 15 - 20 . ),Neutral
( Read 2 Kings 20 : 1 - 3 . ),Neutral
( Read 2 Chronicles 34 : 1 - 3 . ),Neutral
( Read 2 Chronicles 34 : 18 ,Neutral
( b ) What will we discuss in the next article ?,Neutral
Why will we consider the examples of four kings of Judah ?,Neutral
( Read 2 Chronicles 16 : 7 - 9 . ),Neutral
( Read 2 Chronicles 32 : 31 . ),Neutral
Many praise him for what he has done .,Positive
( Read 2 Chronicles 35 : 20 - 22 . ),Neutral
The Bible says that Necho’s words were “ from the mouth of God . ”,Neutral
Let us meditate on these Bible accounts and be thankful that Jehovah has provided them for us !,Neutral
How many vows have you made to Jehovah ?,Positive
What about your dedication vow or your marriage vow ?,Neutral
When we believe that we have personally experienced or observed an injustice ,Positive
“ The world is passing away and so is its desire ,Neutral
What will Jehovah do about wicked people and corrupt organizations ?,Negative
The Bible says : “ The world is passing away . ”,Neutral
There is no darkness or deep shadow where wrongdoers can conceal themselves . ”,Neutral
Later in the same psalm ,Neutral
Who are “ the meek ” and “ the righteous ” ?,Neutral
Why can we be sure that the new earth will be well - organized ?,Positive
After Armageddon ,Neutral
So the “ new earth ” will be organized .,Positive
What kind of wrong activities are common where you live ,Negative
What do we learn from Jehovah’s judgment of Sodom and Gomorrah ?,Neutral
( Read 2 Peter 2 : 6 - 8 . ),Neutral
( Read Psalm 46 : 8 ,Neutral
What are some things that will be gone forever after Armageddon ?,Neutral
Illustrate . ( b ) How can we be sure that we will remain after this old world is gone ?,Positive
“ WILL the Judge of all the earth not do what is right ? ”,Positive
Because Jehovah is the greatest example of justice and righteousness .,Positive
Christians expect to experience some injustice outside the Christian congregation .,Neutral
In 1946 ,Neutral
After graduation ,Neutral
What examples will we consider in this article and in the next ?,Neutral
In this article ,Neutral
10 ,Neutral
( Read Matthew 5 : 23 ,Neutral
Loyalty to Jehovah and to our brothers will protect us from making such a mistake .,Neutral
Most important ,Positive
Why should we draw even closer to Jehovah if we experience injustice in the congregation ?,Neutral
How can we show that we have confidence in “ the Judge of all the earth ” ?,Neutral
What will we consider in the next article ?,Neutral
See Willi Diehl’s life story ,Neutral
( See opening pictures . ) ( b ) What questions will be answered in this article ?,Neutral
They are excellent examples for men and women today who choose to make vows to Jehovah .,Positive
How serious is it to make a vow to God ?,Negative
What lessons can we learn from Jephthah and Hannah ?,Neutral
2 ,Neutral
( b ) What do the Scriptures say about making vows to God ?,Neutral
He should do everything he vowed he would do . ”,Neutral
( a ) How serious is it to make a vow to God ?,Negative
( b ) What do we want to learn about Jephthah and Hannah ?,Neutral
( a ) How easy was it for Jephthah and his daughter to pay his vow to God ?,Positive
Jephthah said : “ I have opened my mouth to Jehovah ,Neutral
( b ) What did Hannah’s vow mean for Samuel ?,Negative
She took Samuel to High Priest Eli at the tabernacle in Shiloh and said : “ It was for this boy that I prayed ,Positive
The second most important vow that a person can make is the marriage vow .,Positive
What does the Bible say about divorce and separation ?,Neutral
( Read 1 Corinthians 7 : 10 ,Neutral
One couple said : “ Since we have been studying this brochure ,Neutral
We are doing much better now as a couple . ”,Positive
18 ,Neutral
( b ) What can be said about those who are in special full - time service ?,Positive
Special full - time service vow ( See paragraph 19 ),Positive
It is not the people but their assignments that are viewed as special .,Positive
See the Appendix article “ The Bibleʼs View on Divorce and Separation ” in the book “ Keep Yourselves in Godʼs Love . ”,Positive
Does the Almighty care that you are righteous ,Neutral
( b ) How did Israel defeat Jabin’s army ?,Neutral
( Read Judges 4 : 14 - 16 . ),Neutral
The torrent of Kishon washed them away . ”,Neutral
See the article “ Anxiety About Money ” in the July 1 ,Neutral
1 ,Neutral
( b ) What two qualities will we consider in this article ?,Neutral
What kind of man was Naboth ,Positive
Naboth was faithful to Jehovah at a time when most Israelites were following the bad example of King Ahab and his wife ,Negative
Read 1 Kings 21 : 1 - 3 .,Neutral
He respectfully explained : “ It is unthinkable ,Positive
Why would humility have been a protection to Naboth’s family and friends ?,Neutral
( Read Deuteronomy 32 : 3 ,Positive
( b ) In what ways will humility protect us ?,Neutral
How will you respond if the elders announce a decision that you do not agree with ?,Neutral
What account will we now consider ,Neutral
How was Peter corrected ,Neutral
In fact ,Neutral
3 Helping “ Foreign Residents ” to “ Serve Jehovah With Rejoicing ”,Negative
The second article considers how applying Bible principles will help immigrant parents to make decisions that will benefit their children .,Neutral
“ We could see people running ,Neutral
My parents and 11 of us siblings fled for our lives with only the clothes on our backs .,Neutral
How did Jesus and many of his disciples become refugees ?,Positive
He said : “ When they persecute you in one city ,Neutral
( b ) are living in a camp ?,Neutral
My feet were so swollen that I told my family to go on without me .,Neutral
My father ​ — not about to abandon me to the rebel forces — ​ carried me .,Neutral
They gossiped ,Neutral
( Read 1 John 3 : 17 ,Neutral
( b ) Why do they need our patient help ?,Neutral
They need to see that we care about them .,Neutral
( b ) How can refugees show gratitude ?,Neutral
How can we help our brothers and sisters who are refugees ?,Neutral
( a ) What temptation do refugees need to resist ?,Neutral
Finally ,Neutral
This is all you need ! ’ ” ​ — Read 1 Timothy 6 : 8 .,Neutral
They need to sense Jehovah’s love and compassion among their fellow Christians .,Positive
Many of today’s refugees come from countries where our preaching work is restricted .,Positive
( b ) What will we consider in the following article ?,Neutral
She said : “ The brothers there treated them like close relatives ,Neutral
Who else would welcome strangers into their home just because they worship the same God ?,Positive
Only Jehovah’s Witnesses ! ” ​ — Read John 13 : 35 .,Neutral
As soon as possible after a refugee arrives ,Neutral
In the meantime ,Neutral
“ No greater joy do I have than this : that I should hear that my children go on walking in the truth . ” ​ — 3 JOHN 4 .,Positive
How can parents set a good example for their children ?,Positive
How can family heads decide which language congregation the family will attend ?,Neutral
How can others help immigrant parents and their children ?,Neutral
1 ,Neutral
( b ) What questions will this article discuss ?,Neutral
“ But after I started school ,Neutral
Within a few years ,Negative
I couldn’t understand the meetings ,Neutral
3 ,Neutral
( b ) What should parents not expect of their children ?,Neutral
When your children see you “ seeking first the Kingdom ,Positive
Never get so busy that you do not have time for your children .,Positive
How may your children benefit from learning your language ?,Neutral
Parents ,Neutral
A child who communicates best in another spoken language deserves the same concern ,Positive
If that is your situation ,Neutral
“ But when we saw her studying ,Neutral
How can parents help children who may need to study in two languages ?,Neutral
( a ) Who must decide which language congregation to attend ?,Neutral
That may not be the case when children do not fully understand the language .,Neutral
( Read 1 Corinthians 14 : 9 ,Neutral
The answer was not what we personally found convenient .,Neutral
But when we saw that they were getting little benefit from the meetings in our language ,Negative
Together ,Neutral
We also invited local friends to join us for meals and excursions .,Neutral
All of this helped our children to get to know the brothers and to get to know Jehovah ,Neutral
We considered this to be much more important than their mastering our language . ”,Positive
Samuel adds : “ To keep ourselves spiritually strong ,Positive
Life was very busy ,Positive
But we thank Jehovah for blessing our efforts and sacrifices .,Neutral
Our three children are all serving Jehovah in the full - time ministry . ”,Positive
“ I knew the basics of my parents ’ language ,Neutral
“ When I was 12 ,Neutral
For the first time ,Positive
Another turning point came when I began to pray in my school language .,Neutral
I could speak to Jehovah from my heart ! ”,Neutral
Young people ,Positive
“ When my siblings and I got into our teens ,Neutral
“ Now we’re grateful that our parents worked hard to teach us their language and kept us in the foreign - language congregation .,Negative
It has enriched our lives and broadened our opportunities to help others get to know Jehovah . ”,Neutral
( b ) How can parents get help in teaching their children the truth ?,Neutral
( Read Proverbs 1 : 8 ; 31 : 10 ,Neutral
Still ,Neutral
Both children and parents benefit from association with the congregation ( See paragraphs 18 ,Neutral
( b ) What must parents continue to do ?,Neutral
“ When they helped me with student talk assignments for the meeting ,Neutral
And I enjoyed the leisure activities we shared in as a group . ”,Positive
Parents ,Neutral
( Read 2 Chronicles 15 : 7 . ),Neutral
Put your child’s friendship with Jehovah ahead of your own interests .,Positive
But it wasn’t until 1946 that I really understood Bible truth .,Positive
Eventually ,Neutral
She accepted a magazine subscription and wanted me to meet her husband ,Neutral
Eventually ,Neutral
At that time ,Neutral
When she wanted to get baptized ,Neutral
She continued her study and later got baptized .,Neutral
When we got married in 1960 ,Positive
My son Nicholas and his wife ,Neutral
Faye and James ,Neutral
We are now part of the Calgary Sign - Language Congregation ,Neutral
© 2017 Watch Tower Bible and Tract Society of Pennsylvania,Neutral
How can we keep our love for Jehovah strong ?,Positive
How can we deepen our love for Bible truth ?,Positive
Why is it important to have affection for our brothers ?,Positive
What may have caused the love of some Christians to grow cold ?,Negative
People today have less and less love for God .,Positive
This is the greatest and first commandment . ”,Positive
Show love for Jehovah ( See paragraph 10 ),Positive
( Read Psalm 119 : 97 - 100 . ),Neutral
Show love for Bible truth ( See paragraph 14 ),Positive
On his last night on earth ,Neutral
By this all will know that you are my disciples ​ — if you have love among yourselves . ” ​ — John 13 : 34 ,Positive
The apostle John wrote : “ The one who does not love his brother ,Negative
Show love for the brothers and sisters ( See paragraph 17 ),Positive
What are some ways in which we can show love ?,Positive
Read 1 Thessalonians 4 : 9 ,Neutral
“ Simon son of John ,Neutral
Then he said to them : “ ‘ Cast the net on the right side of the boat and you will find some . ’,Positive
So they cast it ,Neutral
( b ) What valuable lesson did a brother in Thailand learn about his work ?,Neutral
As a result ,Neutral
I finally realized that in order to put Kingdom interests first ,Positive
“ After planning for about a year ,Neutral
In the beginning ,Neutral
When I met my former workmates ,Neutral
I prayed to Jehovah ,Neutral
I got better acquainted with my customers ’ tastes and became more skillful in making ice cream .,Positive
Soon ,Neutral
Actually ,Neutral
It has made me happier because I do not have the stress and worry that I had with my former job .,Neutral
And most important ,Positive
After his baptism ,Neutral
Jesus said : “ Where your treasure is ,Neutral
Jesus stated that “ no one can slave for two masters . ”,Neutral
He added : “ You cannot slave for God and for Riches . ”,Neutral
( Read 1 Corinthians 2 : 14 . ),Neutral
See the article “ Is Your Recreation Beneficial ? ”,Neutral
We also shared regularly in the field ministry . ”,Neutral
We were so sad to leave our Bible students behind . ”,Negative
But then ,Neutral
Miriam says : “ We were invited to serve as special pioneers .,Positive
What a joy to be able to stay in our assignment ! ”,Positive
They trusted in the promise found at Psalm 37 : 5 : “ Commit your way to Jehovah ; rely on him ,Neutral
Today we do ,Neutral
Why can we expect that marriage and family life will involve some trials ?,Neutral
We can be sure that he wants the best for us ,Positive
( Read 1 Samuel 1 : 4 - 7 . ),Neutral
“ Even though Ann was not related to me ,Neutral
“ It helped me to keep serving Jehovah . ”,Neutral
( Read Psalm 145 : 18 ,Neutral
“ Where your treasure is ,Neutral
As we do so ,Neutral
Can you imagine how precious that pearl was to him ?,Positive
( Read Mark 10 : 28 - 30 . ),Neutral
( a ) Why did the apostle Paul describe our ministry as a “ treasure in earthen vessels ” ?,Neutral
( Read Romans 1 : 14 ,Neutral
Some of them serve as Bethelites ,Neutral
Irene says ,Neutral
What is the “ treasure store ” that Jesus referred to at Matthew 13 : 52 ,Neutral
( Read Proverbs 2 : 4 - 7 . ),Neutral
Consider the experience of a brother named Peter .,Neutral
To test Peter ,Neutral
When I went home and checked the Watchtower and Awake !,Neutral
magazines from the previous months ,Negative
As you do this ,Neutral
For where your treasure is ,Neutral
“ I had trouble getting along with a brother who worked with me .,Negative
Once when we were yelling at each other ,Negative
“ A sister with whom I often preached suddenly ended our arrangements for the ministry .,Neutral
I had no idea why . ” ​ — JANET .,Neutral
“ I was on a three - person phone call .,Neutral
One of the others said good - bye ,Positive
I then said unkind things about him to the other person on the phone ,Negative
“ In our congregation ,Neutral
Their bickering was discouraging to others . ” ​ — GARY .,Neutral
“ Do not become upset with one another on the way . ”,Neutral
“ Plans fail when there is no consultation . ”,Negative
Michael says ,Neutral
“ Continue putting up with one another and forgiving one another freely even if anyone has a cause for complaint against another . ”,Positive
Now they get along well as they preach the good news .,Positive
That difference may seem unimportant ; yet ,Negative
As my irritation grew ,Neutral
I thought ,Neutral
“ I began seeing my own personality flaws ,Positive
I realized that I had to adjust my thinking .,Neutral
After praying to Jehovah about the matter ,Neutral
We hugged each other and agreed to put the matter behind us .,Negative
We have not had any more problems . ”,Positive
FOR many people today ,Positive
Why must the issue of sovereignty be settled ?,Neutral
How important is the vindication of Jehovah’s sovereignty ?,Positive
Why ,Neutral
( Read Isaiah 55 : 10 ,Neutral
( Read Job 1 : 7 - 12 . ),Neutral
( Read Job 38 : 18 - 21 . ),Neutral
( Read Romans 5 : 3 - 5 . ),Positive
One reason is that he rules with love .,Positive
He cares for us better than we can care for ourselves .,Positive
How can elders and family heads imitate Jehovah ?,Neutral
Published by Jehovah’s Witnesses but now out of print .,Neutral
Psalm 147 repeatedly encourages God’s people to praise Jehovah .,Neutral
What was it about Jehovah that impressed the psalmist so much that he wanted God to be praised ?,Positive
Many young brothers and sisters are zealously entering the full - time service .,Positive
“ Make friends for yourselves by means of the unrighteous riches . ” ​ — LUKE 16 : 9 .,Neutral
How can we avoid becoming slaves of today’s commercial world ?,Positive
In this system of things ,Neutral
What can we learn from Jesus ’ counsel ?,Neutral
How do we know that today’s commercial system was not part of God’s purpose ?,Neutral
Give examples of how some are showing faithfulness in their use of unrighteous riches .,Neutral
I am more generous in being forgiving ,Positive
( Read 2 Corinthians 8 : 13 - 15 . ),Neutral
How did Abraham show that he trusted in God ?,Neutral
( b ) How can we apply Paul’s counsel today ?,Neutral
After calling Timothy “ a fine soldier of Christ Jesus ,Positive
Jehovah blesses those who are “ rich in fine works . ”,Positive
( Read 1 Timothy 6 : 17 - 19 . ),Neutral
High - quality materials of wood ,Positive
To donate online ,Neutral
“ FOR almost a year after the death of our son ,Neutral
( Read 2 Corinthians 1 : 3 ,Positive
Every single time ,Negative
How did Jesus show empathy when Lazarus died ?,Neutral
If you are grieving ,Neutral
( Read 1 Thessalonians 5 : 11 . ),Neutral
What do we need to remember about grief ?,Negative
Even when someone does express how he feels ,Neutral
At that moment ,Neutral
“ Receiving a short encouraging message or an invitation to spend time with a fellow Christian helps me more than I can say ,Positive
“ Those expressions make me feel loved and cared for . ”,Positive
“ Sometimes when sisters have come to comfort me ,Neutral
They start praying ,Neutral
Their strong faith ,Positive
“ A true friend shows love at all times ,Positive
“ I expected my first wedding anniversary to be very traumatic ,Positive
But a few brothers and sisters planned a small gathering of my closest friends so that I wouldn’t be on my own . ”,Positive
“ Often the help and companionship offered when there is no special anniversary can be very beneficial ,Positive
“ Those spontaneous moments are so valuable and bring much comfort . ”,Positive
They have truly made me feel Jehovah’s loving arms around me . ”,Positive
Why are Jehovah’s promises a source of great comfort ?,Positive
God promises that “ he will do away with death forever ,Neutral
Other scriptures that many have found comforting are Psalm 20 : 1 ,Positive
See also the article “ Comfort the Bereaved ,Neutral
“ We don’t know what to say except that we love you .,Positive
We can’t understand exactly how you feel ,Positive
We hope that our prayers will help a little . ”,Negative
“ May Jehovah sustain you at this time of such great loss . ”,Positive
“ May you find comfort in knowing that your dear one is safe in the memory of God ,Positive
“ Your loved one will never have to face the last enemy ,Positive
In the meantime ,Neutral
“ While words fail to capture the pain of losing a loved one ,Positive
During the great tribulation ,Positive
In an apple orchard in Grójec ,Neutral
( b ) What can we learn from studying Psalm 147 ?,Neutral
And there may be trillions of galaxies in the universe !,Neutral
I want you to enjoy your life as one of my Witnesses ! ”,Positive
( Read Psalm 147 : 8 ,Neutral
Mutsuo says : “ I felt that Jehovah was right next to each one of us and caring for us .,Positive
12 ,Neutral
On the other hand ,Negative
“ Jehovah finds pleasure in those who fear him ,Neutral
15 - 17 . ( a ) How might we at times feel about our trials ,Neutral
Today ,Neutral
( Read Psalm 147 : 19 ,Neutral
What plans can lead to a happy future for you ?,Positive
What could a life in the pioneer service lead to ?,Neutral
YOU young ones will probably agree that before starting a journey ,Positive
Life is like a journey ,Neutral
How do you know that Jehovah wants you to plan for a happy future ?,Positive
Your Creator is “ the God of love ,Positive
You will be happy when you imitate our loving God .,Positive
Jesus Christ set the perfect example for you young ones .,Positive
Jesus also drew close to Jehovah by studying the Scriptures .,Neutral
“ Plans fail when there is no consultation ,Negative
As with any career ,Neutral
At first ,Positive
One student began coming to the Kingdom Hall .,Neutral
For example ,Neutral
I wanted to tell them about Jehovah ,Neutral
For the most part ,Positive
I also made friends in a nearby Vietnamese - language congregation .,Neutral
When I was 18 ,Neutral
Later ,Neutral
This helped me with my present pioneer assignment ,Neutral
Many Vietnamese people are amazed that I have learned their language .,Positive
They invite me in ,Neutral
Some have progressed to baptism . ” ​ — Compare Acts 2 : 7 ,Neutral
I enjoy encouraging the young brothers in our congregation and seeing their spiritual progress .,Positive
After I attended the Bible School for Single Brothers ,Negative
It’s true that I have never found anyone in the territory who progressed to baptism ,Positive
How may pioneer service lead to other opportunities ?,Negative
A brother named Kevin says : “ Ever since I was a little boy ,Negative
Finally ,Neutral
I supported myself working part - time for a brother who was a builder .,Neutral
I learned to install roofs ,Neutral
Later ,Neutral
When I heard about the construction needs in South Africa ,Neutral
Here in Africa ,Neutral
We live together ,Positive
I also enjoy preaching with the local brothers each week .,Positive
The plans I made as a boy have made me happy in ways I did not foresee . ”,Positive
Bethel service is a happy way of life because everything you do there is for Jehovah .,Positive
After a year and a half ,Negative
At Bethel ,Neutral
I love serving here because what we do helps people to draw close to Jehovah . ”,Positive
